epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.0261,1.50829,0.33333,1,1.47764,0.000164251,0.000164251,0.067314
2,44.2442,1.00383,0.62766,1,1.07831,0.000326823,0.000326823,0.0341432
3,60.9196,0.41934,0.6773,1,0.97505,0.000485269,0.000485269,0.000968361
4,77.569,0.23419,0.73404,1,0.98491,0.000481438,0.000481438,0.000481438
5,94.2071,0.19549,0.80851,1,0.53336,0.00047525,0.00047525,0.00047525
6,111.13,0.14174,0.7766,1,0.68974,0.000469063,0.000469063,0.000469063
7,127.991,0.10211,0.8156,1,0.50546,0.000462875,0.000462875,0.000462875
8,144.849,0.08548,0.8227,1,0.48592,0.000456687,0.000456687,0.000456687
9,161.77,0.06724,0.8156,1,0.61891,0.0004505,0.0004505,0.0004505
10,178.753,0.05783,0.80851,1,0.6099,0.000444312,0.000444312,0.000444312
11,195.815,0.04721,0.87589,1,0.43955,0.000438125,0.000438125,0.000438125
12,212.763,0.03031,0.83688,1,0.62574,0.000431938,0.000431938,0.000431938
13,229.623,0.03199,0.86879,1,0.37228,0.00042575,0.00042575,0.00042575
14,246.609,0.02579,0.84397,1,0.53341,0.000419563,0.000419563,0.000419563
15,264.01,0.02328,0.84397,1,0.48087,0.000413375,0.000413375,0.000413375
16,281.019,0.02261,0.89007,1,0.28937,0.000407187,0.000407187,0.000407187
17,298.358,0.03439,0.86525,1,0.42572,0.000401,0.000401,0.000401
18,315.215,0.03675,0.83333,1,0.49495,0.000394813,0.000394813,0.000394813
19,332.17,0.03007,0.87234,1,0.4386,0.000388625,0.000388625,0.000388625
20,349.017,0.03836,0.8617,1,0.44066,0.000382438,0.000382438,0.000382438
21,365.951,0.01829,0.86879,1,0.34003,0.00037625,0.00037625,0.00037625
22,382.917,0.01369,0.84397,1,0.37066,0.000370063,0.000370063,0.000370063
23,399.822,0.01336,0.86525,1,0.33014,0.000363875,0.000363875,0.000363875
24,416.73,0.01331,0.86879,1,0.43986,0.000357687,0.000357687,0.000357687
25,433.576,0.01133,0.8617,1,0.4837,0.0003515,0.0003515,0.0003515
26,450.621,0.00778,0.87943,1,0.4699,0.000345313,0.000345313,0.000345313
27,468.198,0.00591,0.84397,1,0.59929,0.000339125,0.000339125,0.000339125
28,485.315,0.01392,0.87589,1,0.45668,0.000332938,0.000332938,0.000332938
29,502.358,0.01867,0.85816,1,0.55104,0.00032675,0.00032675,0.00032675
30,519.293,0.02042,0.85461,1,0.50238,0.000320562,0.000320562,0.000320562
31,536.149,0.00558,0.85461,1,0.44503,0.000314375,0.000314375,0.000314375
32,553.084,0.01177,0.82624,1,0.65035,0.000308188,0.000308188,0.000308188
33,570.007,0.00866,0.80142,1,0.98863,0.000302,0.000302,0.000302
34,587.032,0.00983,0.83333,1,0.74796,0.000295813,0.000295813,0.000295813
35,603.953,0.00774,0.84397,1,0.60751,0.000289625,0.000289625,0.000289625
36,621.137,0.00828,0.85461,1,0.56675,0.000283437,0.000283437,0.000283437
37,638.225,0.00956,0.84752,1,0.6235,0.00027725,0.00027725,0.00027725
38,655.369,0.00607,0.8617,1,0.69387,0.000271062,0.000271062,0.000271062
39,672.593,0.00438,0.85106,1,0.6475,0.000264875,0.000264875,0.000264875
40,689.79,0.0075,0.86525,1,0.56892,0.000258687,0.000258687,0.000258687
41,706.897,0.00222,0.87589,1,0.52424,0.0002525,0.0002525,0.0002525
