epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.24175,1.39566,0.4,1,1.34334,0.0003,0.0003,0.0703
2,6.60803,1.2198,0.4,1,0.8838,0.000617658,0.000617658,0.0372843
3,8.72341,1.11315,0.55,1,1.31322,0.000918817,0.000918817,0.00425215
4,10.8024,1.04487,0.65,1,0.96013,0.00092575,0.00092575,0.00092575
5,12.8253,0.96138,0.85,1,0.84501,0.000901,0.000901,0.000901
6,14.781,0.83376,0.9,1,0.73276,0.00087625,0.00087625,0.00087625
7,16.8443,0.70864,0.85,1,0.98784,0.0008515,0.0008515,0.0008515
8,19.0917,0.62792,0.85,1,0.60874,0.00082675,0.00082675,0.00082675
9,21.0924,0.49365,0.85,1,0.83523,0.000802,0.000802,0.000802
10,22.9667,0.44238,0.95,1,0.815,0.00077725,0.00077725,0.00077725
11,24.9985,0.43812,0.9,1,0.4224,0.0007525,0.0007525,0.0007525
12,27.0031,0.41937,0.85,1,0.78359,0.00072775,0.00072775,0.00072775
13,29.0471,0.35862,0.85,1,0.29575,0.000703,0.000703,0.000703
14,31.0227,0.26922,0.9,1,0.27788,0.00067825,0.00067825,0.00067825
15,33.0745,0.27486,0.9,1,0.28108,0.0006535,0.0006535,0.0006535
16,35.0888,0.25111,0.85,1,0.31584,0.00062875,0.00062875,0.00062875
17,37.0456,0.18553,0.85,1,0.3233,0.000604,0.000604,0.000604
18,38.9795,0.1487,0.85,1,0.24142,0.00057925,0.00057925,0.00057925
19,40.9252,0.20597,0.85,1,0.24154,0.0005545,0.0005545,0.0005545
20,42.952,0.18367,0.85,1,0.25527,0.00052975,0.00052975,0.00052975
21,45.0562,0.19764,0.9,1,0.28872,0.000505,0.000505,0.000505
22,47.0588,0.11755,0.9,1,0.54131,0.00048025,0.00048025,0.00048025
23,49.2214,0.08331,0.9,1,0.24825,0.0004555,0.0004555,0.0004555
24,51.488,0.16979,0.9,1,0.25663,0.00043075,0.00043075,0.00043075
25,53.7891,0.14483,0.9,1,0.37091,0.000406,0.000406,0.000406
